Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (INR),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
37,35,Male,T-shirt,Clothing,3795,Visakhapatnam,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PhonPe,Fortnightly
38,35,Male,Jeans,Clothing,2475,Vijaywada,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PhonPe,Weekly
39,29,Male,Dress,Clothing,2035,Ghaziabad,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,44,GooglePay,Every 3 Months
40,70,Male,Pants,Clothing,3300,Coimbatore,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,69,Male,Handbag,Accessories,4180,Lucknow,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,Male,Scarf,Accessories,2145,Rameswaram,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,GooglePay,Annually
43,20,Male,Coat,Outerwear,5500,Kochi,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PhonPe,Annually
44,25,Male,Scarf,Accessories,3795,Mysuru,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PhonPe,Fortnightly
45,39,Male,Hat,Accessories,2915,Delhi,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PhonPe,Weekly
46,50,Male,Socks,Clothing,1155,Kochi,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PhonPe,Annually
47,57,Male,Shirt,Clothing,2365,Vadodara,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,Male,Jewelry,Accessories,2970,Ahmedabad,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,Male,Shirt,Clothing,3025,Srinagar,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,Male,Hoodie,Clothing,1650,Mangaluru,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,1540,Kolhapur,M,Red,Spring,,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,Male,Skirt,Clothing,3245,Pune,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,1100,Rameswaram,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,Male,Skirt,Clothing,1320,Indore,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,Male,Coat,Outerwear,5170,Nanded,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,1540,Nashik,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,Male,Backpack,Accessories,4015,Indore,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,Male,Coat,Outerwear,3520,Ranchi,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,Male,Hoodie,Clothing,2970,Mussoorie,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,GooglePay,Monthly
60,63,Male,Belt,Accessories,4345,Lucknow,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,Male,Sweater,Clothing,2035,Ujjain,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
62,55,Male,Scarf,Accessories,3740,Amritsar,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,30,Male,Sneakers,Footwear,1155,Indore,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,Male,Sunglasses,Accessories,4345,Coimbatore,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,Male,Boots,Footwear,4565,Nellore,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,Male,Backpack,Accessories,1980,Mangaluru,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,GooglePay,Every 3 Months
67,31,Male,Blouse,Clothing,5170,Kota,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,GooglePay,Every 3 Months
68,45,Male,Coat,Outerwear,1815,Gwalior,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,Male,Handbag,Accessories,2530,Jalandhar,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,48,Male,Belt,Accessories,3850,Kochi,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
71,22,Male,Belt,Accessories,1595,Nellore,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,Male,Dress,Clothing,2640,Shimla,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
73,18,Male,Dress,Clothing,1430,Bareily,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,48,Male,Pants,Clothing,4675,Raipur,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,49,Male,Gloves,Accessories,3190,Vijaywada,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,64,Male,Scarf,Accessories,4675,Jalandhar,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,Male,Hat,Accessories,2365,Chennai,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,GooglePay,Monthly
78,22,Male,Dress,Clothing,2915,Chennai,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,5005,Nainital,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,GooglePay,Fortnightly
80,38,Male,Jacket,Outerwear,5280,Sultanpur,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,19,Male,Sandals,Footwear,3960,Chandrapur,XL,Blue,Summer,,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,67,Male,Shoes,Footwear,5280,Shimla,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,19,Male,Pants,Clothing,1540,Bareily,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36,Male,Dress,Clothing,2200,Amritsar,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,52,Male,Coat,Outerwear,1760,Coimbatore,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,53,Male,Sunglasses,Accessories,5225,Nanded,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,Male,Hoodie,Clothing,2255,Srinagar,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,52,Male,Shoes,Footwear,2915,Mysuru,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,Male,T-shirt,Clothing,2585,Nagpur,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,Male,Jacket,Outerwear,4565,Vadodara,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,Male,Hat,Accessories,2640,Nashik,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
92,44,Male,Scarf,Accessories,5445,Nashik,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,4785,Amritsar,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,GooglePay,Every 3 Months
94,37,Male,Sweater,Clothing,3410,Ghaziabad,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,Male,Skirt,Clothing,4180,Srinagar,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,Male,Sneakers,Footwear,5500,Mussoorie,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PhonPe,Monthly
97,32,Male,Gloves,Accessories,4015,Chennai,S,Gold,Spring,,Yes,Express,Yes,Yes,43,GooglePay,Every 3 Months
98,21,Male,Shoes,Footwear,5060,Shimla,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,Male,Jeans,Clothing,3685,Chandrapur,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,26,Male,Hoodie,Clothing,2200,Mussoorie,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,Male,Sunglasses,Accessories,5390,Ayodhya,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
102,27,Male,Coat,Outerwear,4675,Bhubaneswar,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,Male,Socks,Clothing,3685,Surat,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,Male,Boots,Footwear,4895,Ranchi,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,GooglePay,Bi-Weekly
105,55,Male,Sunglasses,Accessories,1320,Hyderabad,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PhonPe,Monthly
106,69,Male,Backpack,Accessories,5280,Chandrapur,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,Male,Jacket,Outerwear,1925,Prayagraj,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,Male,Sneakers,Footwear,3685,Kolhapur,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PhonPe,Fortnightly
109,70,Male,Socks,Clothing,4345,Ahmedabad,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,Male,T-shirt,Clothing,4675,Nellore,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,Male,Backpack,Accessories,1430,Chandrapur,M,Black,Summer,4,Yes,Standard,Yes,Yes,26,GooglePay,Fortnightly
112,26,Male,Belt,Accessories,4125,Kolkata,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,Male,Gloves,Accessories,3575,Ghaziabad,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PhonPe,Bi-Weekly
114,44,Male,Hat,Accessories,2970,Mangaluru,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PhonPe,Quarterly
115,70,Male,Coat,Outerwear,5225,Kolkata,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,Male,Skirt,Clothing,5170,Nagpur,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,55,Male,Shoes,Footwear,4730,Shimla,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,GooglePay,Annually
118,50,Male,Sandals,Footwear,1760,Ayodhya,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
119,50,Male,Sweater,Clothing,2475,Delhi,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,38,Male,Coat,Outerwear,4180,Nagpur,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
121,64,Male,Hat,Accessories,4620,Ranchi,L,Red,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
122,19,Male,Shorts,Clothing,3960,Shimla,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,Male,Backpack,Accessories,2200,Patna,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,Male,Sweater,Clothing,4895,Lucknow,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,Male,Sweater,Clothing,4730,Srinagar,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PhonPe,Annually
126,49,Male,Shorts,Clothing,2970,Vadodara,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,GooglePay,Every 3 Months
127,43,Male,Shorts,Clothing,1980,Indore,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24,Male,Sweater,Clothing,4895,Indore,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,Male,Scarf,Accessories,1760,Vadodara,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,Male,Dress,Clothing,3685,Kota,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PhonPe,Bi-Weekly
131,44,Male,Scarf,Accessories,2145,Delhi,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PhonPe,Fortnightly
132,28,Male,Skirt,Clothing,1595,Mumbai,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,Male,Backpack,Accessories,3190,Nanded,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PhonPe,Weekly
134,52,Male,Sweater,Clothing,3575,Ahmedabad,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,GooglePay,Annually
135,43,Male,Hat,Accessories,5170,Amritsar,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,Male,Sandals,Footwear,4455,Varanasi,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PhonPe,Quarterly
137,39,Male,Blouse,Clothing,4730,Nashik,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,Male,Sneakers,Footwear,2365,Dhanbad,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PhonPe,Weekly
139,68,Male,Skirt,Clothing,1595,Bareily,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,Male,Coat,Outerwear,5225,Ghaziabad,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,GooglePay,Annually
141,63,Male,Shirt,Clothing,1540,Udaipur,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,Male,Gloves,Accessories,2530,Shimla,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PhonPe,Weekly
143,37,Male,Jacket,Outerwear,3190,Nainital,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,Male,Coat,Outerwear,2640,Mussoorie,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PhonPe,Quarterly
145,19,Male,Shoes,Footwear,2365,Mangaluru,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
146,24,Male,Jewelry,Accessories,5225,Mussoorie,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,Male,Skirt,Clothing,1650,Dhanbad,S,Black,Fall,4,Yes,Standard,Yes,Yes,21,GooglePay,Fortnightly
148,63,Male,Shoes,Footwear,3520,Ujjain,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,37,Male,Gloves,Accessories,4950,Nagpur,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,38,Male,Pants,Clothing,4180,Chennai,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PhonPe,Monthly
151,35,Male,Boots,Footwear,5280,Vadodara,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,28,Male,Sunglasses,Accessories,2585,Bhubaneswar,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,GooglePay,Annually
153,30,Male,Shirt,Clothing,4675,Nashik,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,42,GooglePay,Annually
154,69,Male,Hoodie,Clothing,3025,Udaipur,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
155,41,Male,Dress,Clothing,5390,Surat,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,GooglePay,Quarterly
156,63,Male,Socks,Clothing,4235,Mumbai,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
157,35,Male,Shorts,Clothing,1430,Mussoorie,M,Lavender,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
158,36,Male,Hat,Accessories,3740,Pune,S,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
159,25,Male,Shirt,Clothing,4015,Gwalior,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
160,58,Male,Gloves,Accessories,1485,Hyderabad,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
161,27,Male,Gloves,Accessories,1265,Amritsar,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,GooglePay,Monthly
162,65,Male,Backpack,Accessories,2695,Bhubaneswar,M,Olive,Fall,3,Yes,Express,Yes,Yes,29,GooglePay,Fortnightly
163,54,Male,Sunglasses,Accessories,4070,Vadodara,M,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,31,PhonPe,Bi-Weekly
164,54,Male,Skirt,Clothing,3685,Shimla,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
165,59,Male,Handbag,Accessories,3575,Chennai,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
166,42,Male,Handbag,Accessories,3300,Delhi,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
167,46,Male,Sneakers,Footwear,1705,Chennai,XL,Indigo,Fall,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
168,33,Male,Gloves,Accessories,1485,Gurgaon,M,Green,Fall,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
169,34,Male,Shoes,Footwear,4400,Lucknow,M,Magenta,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
170,27,Male,Jacket,Outerwear,1650,Srinagar,S,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3,PhonPe,Every 3 Months
171,52,Male,Shirt,Clothing,1375,Nagpur,M,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,GooglePay,Bi-Weekly
172,29,Male,Shorts,Clothing,1925,Shimla,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
173,54,Male,Jewelry,Accessories,3685,Nainital,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
174,25,Male,Hat,Accessories,2530,Raipur,M,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
175,41,Male,Shoes,Footwear,1925,Pune,L,Brown,Winter,3.5,Yes,Express,Yes,Yes,37,GooglePay,Annually
176,53,Male,Coat,Outerwear,4730,Surat,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
177,53,Male,Backpack,Accessories,4455,Hyderabad,L,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
178,21,Male,Hoodie,Clothing,2310,Varanasi,L,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
179,61,Male,Skirt,Clothing,2365,Ujjain,L,Lavender,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21,PhonPe,Quarterly
180,64,Male,Boots,Footwear,1705,Visakhapatnam,M,Violet,Fall,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly
181,51,Male,Sandals,Footwear,4455,Ayodhya,L,Green,Fall,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
182,32,Male,Pants,Clothing,3355,Kolkata,M,Beige,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
183,38,Male,Gloves,Accessories,5280,Nellore,XL,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
184,58,Male,Skirt,Clothing,1595,Mysuru,XL,Beige,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
185,32,Male,Sneakers,Footwear,1815,Raipur,L,Cyan,Spring,3,Yes,Express,Yes,Yes,40,Cash,Fortnightly
186,46,Male,T-shirt,Clothing,1760,Gaya,XL,Silver,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly
187,39,Male,Backpack,Accessories,3080,Prayagraj,S,Lavender,Summer,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually
188,19,Male,Shoes,Footwear,5170,Bareily,S,Purple,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
189,50,Male,Hoodie,Clothing,2915,Gurgaon,M,Pink,Spring,3.1,Yes,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly
190,36,Male,Blouse,Clothing,4510,Ranchi,M,Maroon,Fall,4.4,Yes,Next Day Air,Yes,Yes,4,Credit Card,Weekly
